,domain_interaction,count
1921,3.30.230.10:partner-3.90.175.10:major_partner,1
1922,1.10.405.40:partner-3.50.50.60:partner-3.90.660.10:major_partner,1
1923,2.60.120.260:partner-2.60.120.260:partner-3.20.20.80:partner,1
1924,3.10.50.10:major_partner-3.20.20.80:major_partner,1
1927,2.10.270.10:major_partner-2.10.270.10:partner,1
1928,3.30.365.10:major_partner-3.30.365.10:major_partner,1
1929,3.30.1330.10:partner-3.30.1330.10:partner-3.90.650.10:partner,1
1931,3.30.410.40:major_partner-3.50.50.60:major_partner,1
1932,3.30.390.30:partner-3.50.50.60:partner-3.50.50.60:partner,1
1933,3.30.410.40:partner-3.50.50.60:major_partner,1
1934,2.40.270.10:major_partner-2.40.40.20:partner,1
1935,2.40.40.10:partner-2.60.40.760:major_partner,1
1936,2.40.40.10:partner-2.40.40.10:partner-2.60.40.760:partner-2.60.40.760:partner,1
1937,3.40.190.10:major_partner-3.40.190.10:major_partner,1
1938,3.30.160.40:partner-3.40.190.10:partner-3.40.190.10:partner,1
1940,3.40.80.10:major_partner-3.40.80.10:partner,1
1945,3.40.50.12500:major_partner-3.40.50.12500:partner,1
1948,3.10.20.340:partner-3.60.70.12:major_partner,1
1949,2.170.8.10:major_partner-3.40.449.10:major_partner,1
1950,3.30.70.360:major_partner-3.30.70.360:major_partner,1
1953,2.160.20.10:major_partner-2.60.40.1180:partner,1
1954,1.10.3020.10:major_partner-3.40.50.1820:partner,1
1955,1.10.3020.10:partner-3.40.50.1820:major_partner,1
1956,1.10.210.20:partner-3.40.50.1820:major_partner,1
1957,1.10.3020.10:major_partner-3.40.50.1820:major_partner,1
1958,3.30.1360.110:partner-3.40.720.10:major_partner,1
1961,3.10.10.20:major_partner-3.30.70.2630:partner,1
1962,1.20.58.310:partner-3.30.870.10:major_partner,1
1964,3.30.750.180:major_partner-3.60.21.40:partner,1
1967,1.10.1200.10:partner-3.90.470.20:partner-3.90.470.20:partner,1
1968,3.40.50.2300:major_partner-3.40.50.2300:partner,1
1970,3.30.1330.50:major_partner-3.30.1330.50:major_partner,1
1971,1.10.230.10:major_partner-1.10.580.10:major_partner,1
1972,1.10.230.10:major_partner-1.10.580.10:partner-1.10.580.10:partner,1
1974,3.40.50.12470:major_partner-3.40.50.970:partner,1
1978,1.10.590.10:major_partner-1.10.590.10:major_partner,1
1979,3.40.250.10:major_partner-3.40.250.10:partner,1
1981,1.10.1040.10:major_partner-1.20.5.320:major_partner,1
1985,1.10.10.2150:partner-3.40.50.150:major_partner,1
1986,2.70.160.11:partner-3.40.50.150:major_partner,1
1987,2.20.130.10:major_partner-3.40.50.150:partner,1
1988,2.20.130.10:major_partner-3.40.50.150:major_partner,1
1989,3.20.20.60:major_partner-3.20.20.60:major_partner,1
1991,3.40.50.10750:major_partner-3.40.50.10750:partner-3.40.50.10950:partner,1
1995,3.20.20.110:partner-3.30.190.10:major_partner,1
2002,3.65.10.10:major_partner-3.65.10.10:major_partner,1
2003,1.50.10.20:major_partner-1.50.10.20:major_partner,1
2004,1.25.40.120:major_partner-1.50.10.20:partner,1
2005,3.40.50.10750:partner-3.40.50.10750:partner-3.40.50.10950:partner,1
2006,3.40.50.10750:partner-3.40.50.10950:major_partner,1
2007,3.40.720.10:partner-4.10.410.20:major_partner,1
2008,1.10.510.10:major_partner-3.60.40.10:partner,1
2009,2.70.98.20:major_partner-2.70.98.20:partner,1
2010,2.40.70.10:major_partner-2.40.70.10:major_partner,1
2012,3.30.70.520:partner-3.30.70.520:partner-3.30.70.520:partner,1
2021,3.30.470.20:partner-3.40.50.1380:major_partner,1
2022,3.30.200.20:partner-3.30.470.20:major_partner,1
2023,3.40.440.10:major_partner-3.90.170.10:major_partner,1
2025,3.30.70.100:major_partner-3.30.70.100:partner,1
2026,3.30.70.580:major_partner-3.30.70.660:partner,1
2027,2.60.120.230:major_partner-2.60.120.310:partner,1
2029,2.30.38.10:major_partner-3.40.50.12820:partner,1
2033,1.20.141.10:partner-3.30.386.10:major_partner,1
2037,3.40.50.1260:major_partner-3.40.50.1260:partner,1
2039,1.10.3130.10:major_partner-1.10.3130.10:partner,1
2046,1.20.1270.320:major_partner-3.30.460.60:partner,1
2047,1.10.1040.10:partner-1.20.5.320:partner-3.40.50.720:partner,1
2049,3.30.470.20:partner-3.40.50.720:major_partner,1
2050,3.40.50.11190:partner-3.40.50.2000:major_partner,1
2053,3.30.470.20:major_partner-3.40.50.720:major_partner,1
2054,2.40.10.10:major_partner-2.40.10.10:major_partner,1
2061,3.40.50.720:major_partner-3.90.190.20:partner,1
2063,3.10.600.10:partner-3.30.470.20:partner-3.30.470.20:partner,1
2066,3.50.30.50:major_partner-3.50.30.50:partner,1
2074,3.40.50.11040:partner-3.40.50.300:major_partner,1
2075,3.40.50.10810:partner-3.40.50.300:major_partner,1
2076,3.40.50.12020:major_partner-3.40.50.300:partner,1
2077,3.40.449.10:major_partner-3.90.228.20:partner,1
2078,2.170.8.10:partner-3.40.449.10:partner-3.90.228.20:partner,1
2079,3.40.220.10:major_partner-3.40.220.10:partner,1
2082,1.25.50.10:partner-2.60.40.1840:major_partner,1
2083,1.10.530.10:partner-3.90.550.10:major_partner,1
2085,1.20.140.10:major_partner-1.20.140.10:partner-1.20.140.10:partner,1
2086,3.40.350.10:partner-3.90.230.10:major_partner,1
2088,3.30.420.40:partner-3.90.870.20:major_partner,1
2089,3.30.420.40:partner-3.40.367.20:major_partner-3.40.367.20:partner,1
2090,3.30.420.40:major_partner-3.30.420.570:partner,1
2092,3.30.420.40:major_partner-3.30.420.40:partner-3.30.420.40:partner,1
2095,1.10.1740.10:partner-3.40.50.720:major_partner,1
2096,1.10.439.20:partner-3.60.60.20:major_partner,1
2100,3.30.750.70:partner-3.40.1080.20:major_partner,1
2103,2.60.120.1030:partner-3.40.50.300:major_partner,1
2104,1.25.40.460:partner-3.40.50.300:major_partner,1
2105,1.10.220.150:partner-3.40.50.300:major_partner,1
2106,1.10.3660.10:major_partner-3.40.50.720:partner,1
2107,1.20.82.10:major_partner-3.40.50.720:major_partner,1
2108,3.40.50.10860:major_partner-3.40.50.720:major_partner,1
2109,3.40.1190.10:partner-3.40.50.720:major_partner-3.90.190.20:partner,1
2110,1.10.1740.10:major_partner-3.40.50.720:partner,1
