,domain_interaction,count
539,2.60.200.30:major_partner-2.60.200.30:partner-3.40.50.10330:partner,24
541,2.70.40.10:partner-2.70.40.10:partner-2.70.40.10:partner,24
542,1.10.540.10:partner-1.20.140.10:major_partner-2.40.110.10:partner,24
543,1.10.510.10:major_partner-3.30.200.20:major_partner,24
544,3.30.390.30:partner-3.50.50.60:major_partner,24
545,1.10.760.10:major_partner-1.10.760.10:partner,24
546,1.10.135.10:partner-3.30.590.10:major_partner,24
547,1.20.1220.12:partner-3.20.20.360:major_partner,24
548,1.10.760.10:partner-2.140.10.20:major_partner,24
551,2.40.40.20:partner-3.40.50.740:major_partner,24
552,3.40.1160.10:major_partner-3.40.1160.10:partner,24
555,3.30.1360.170:partner-3.30.1360.170:partner-3.30.1360.170:partner,24
557,1.25.40.120:partner-1.50.10.20:major_partner,23
559,1.50.10.20:major_partner-1.50.10.20:partner,23
560,3.40.50.1580:major_partner-3.40.50.1580:partner,23
561,3.40.1190.10:major_partner-3.90.190.20:partner,23
564,3.40.50.720:partner-3.90.25.30:major_partner,23
568,2.40.70.10:major_partner-2.40.70.10:partner,23
574,3.40.50.12150:partner-3.40.50.720:major_partner,22
575,3.30.70.420:major_partner-3.90.770.10:partner,22
578,1.10.230.10:partner-1.10.580.10:major_partner,22
579,3.40.50.11340:partner-3.40.50.11350:major_partner,22
582,3.40.1110.10:major_partner-3.40.50.1000:partner,22
585,3.10.120.10:major_partner-3.20.20.70:partner,22
589,3.40.50.720:major_partner-3.50.50.60:partner,21
593,3.40.50.9100:major_partner-3.40.50.9100:partner,21
594,3.30.70.260:major_partner-3.30.70.260:partner,21
596,3.40.50.10230:major_partner-3.40.50.10230:partner,21
598,1.20.89.20:partner-3.40.50.1980:partner-3.40.50.1980:partner-3.40.50.1980:partner,20
605,3.40.50.1000:major_partner-3.40.50.1000:partner,20
607,3.20.20.120:partner-3.30.390.10:major_partner,20
610,3.30.470.20:major_partner-3.40.50.20:partner,19
613,1.10.150.240:partner-3.40.50.1000:major_partner,19
615,1.20.200.10:major_partner-1.20.200.10:partner,19
617,1.10.287.1350:partner-3.40.50.150:major_partner,19
621,1.10.3730.10:major_partner-1.10.3730.10:partner,18
622,1.10.1160.10:partner-3.40.50.620:major_partner,18
623,1.10.10.10:partner-3.40.630.30:major_partner,18
626,1.10.390.10:major_partner-3.30.2010.30:partner,18
629,2.40.40.20:major_partner-2.40.40.20:partner,18
630,1.20.58.480:major_partner-1.20.58.480:partner,18
634,2.40.10.10:major_partner-2.40.10.10:partner,18
637,1.10.300.10:partner-3.40.440.10:major_partner-3.90.170.10:partner,18
638,1.20.1050.10:major_partner-3.40.30.10:partner,18
639,1.10.3210.10:major_partner-1.10.3210.10:major_partner,18
640,2.60.200.30:major_partner-3.40.50.10330:partner,18
641,3.40.50.261:major_partner-3.40.50.261:partner,18
642,3.30.70.120:major_partner-3.30.70.120:partner,18
645,3.30.70.360:partner-3.40.630.10:major_partner,17
646,1.10.150.240:major_partner-3.40.50.1000:partner,17
647,3.40.1050.10:major_partner-3.40.1050.10:partner,17
648,3.40.50.620:partner-3.90.1260.10:major_partner,17
651,3.40.1010.20:major_partner-3.40.50.11270:partner,17
653,1.10.540.10:partner-1.20.140.10:major_partner,17
655,3.30.559.10:major_partner-3.30.559.70:partner,17
657,3.20.20.120:major_partner-3.20.20.120:partner,17
660,3.30.870.10:major_partner-3.30.870.10:partner,17
662,3.30.1330.40:major_partner-3.30.1330.40:partner,17
663,1.10.220.160:partner-2.170.270.10:major_partner,17
665,1.20.82.10:major_partner-3.40.50.720:partner,17
667,3.30.1600.10:major_partner-3.40.50.1220:partner,16
670,1.10.1530.10:partner-3.30.1370.60:major_partner-3.30.1370.60:partner,16
672,3.40.140.20:major_partner-3.40.140.20:partner,16
673,2.10.240.10:partner-2.40.30.10:major_partner,16
676,3.40.1190.20:major_partner-3.40.50.10260:partner,16
677,3.40.47.10:major_partner-3.40.47.10:partner-3.40.47.10:partner,16
681,3.40.50.1400:partner-3.40.50.1400:partner-3.40.50.1400:partner,16
682,3.40.50.720:major_partner-3.90.110.10:major_partner,16
683,3.20.20.60:major_partner-3.20.20.60:partner,16
684,1.20.1090.10:major_partner-3.40.50.1970:partner,16
687,3.20.20.110:major_partner-3.20.20.110:partner,16
690,3.30.70.3180:major_partner-3.30.70.3180:partner,16
692,3.40.50.1220:partner-3.40.50.970:major_partner,16
